NO;ITEM DESIGN;URAIAN DESIGN;SATUAN;  HARGA 
;;;;
1;AC-ADSS-SM-12C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 12 Core G.652 C Type ADSS Cable dan Pemasangan Aksesoris di tiang eksisting;meter; Rp2.000 
2;AC-ADSS-SM-24C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 24 Core G.652 C Type ADSS Cable dan Pemasangan Aksesoris di tiang eksisting;meter; Rp2.000 
3;AC-ADSS-SM-48C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 48 Core G.652 C Type ADSS Cable dan Pemasangan Aksesoris di tiang eksisting;meter; Rp2.000 
4;AC-ADSS-SM-96C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 96 Core G.652 C Type ADSS Cable dan Pemasangan Aksesoris di tiang eksisting;meter; Rp2.000 
5;AC-ADSS-SM-144C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 144 Core G.652 C Type ADSS Cable dan Pemasangan Aksesoris di tiang eksisting;meter; Rp1.900 
6;AC-ADSS-SM-288C;Jasa Pemasangan Aerial Cable Fiber Optik Single Mode 288 Core G.652 C Type ADSS Cable dan Pemasangan Aksesoris di tiang eksisting;meter; Rp1.900 
7;JC-OF-SM-12C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 12 Core;pcs; Rp20.000 
8;JC-OF-SM-24C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 24 Core;pcs; Rp20.000 
9;JC-OF-SM-48C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 48 Core;pcs; Rp25.000 
10;JC-OF-SM-96C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 96 Core;pcs; Rp25.000 
11;JC-OF-SM-144C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 144 Core;pcs; Rp26.000 
12;JC-OF-SM-288C;Jasa Pemasangan Joint Closure Untuk Fiber Optik Kapasitas 288 Core;pcs; Rp28.000 
13;OTB-SM-6;Jasa Pemasangan OTB Single Mode kapasitas 12 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp15.000 
14;OTB-SM-8;Jasa Pemasangan OTB Single Mode kapasitas 12 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp15.000 
15;OTB-SM-12;Jasa Pemasangan OTB Single Mode kapasitas 12 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp22.000 
